TYPE_K,LOKASI,SALES_TYPE,TUN_LEAS
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
MIO 125,YMS 1S MT HARYONO,Sales Channel,TUNAI
MIO 125,YMS 1S MT HARYONO,Sales Channel,TUNAI
FREEGO 125,YMS KALIWUNGU 3S,Counter Sales,TUNAI
FILANO NEO,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155,YMS KALIWUNGU 3S,Salesman,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 C,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155,YMS KALIWUNGU 3S,Salesman,TUNAI
FILANO NEO,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS KALIWUNGU 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS KALIWUNGU 3S,Salesman,TUNAI
NMAX 155,YMS CEPIRING 2S,Salesman,TUNAI
AEROX 155 C,YMS KALIWUNGU 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Salesman,TUNAI
FILANO NEO,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
YZ125X,YMS SETIABUDI,Salesman,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125 S,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO LUX,YMS SETIABUDI,Salesman,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Counter Sales,TUNAI
AEROX-C ABS,YMS SETIABUDI,Counter Sales,TUNAI
FREEGO 125,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO LUX,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Salesman,TUNAI
NMAX 155,YMS SETIABUDI,Salesman,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
YZ250X,YMS SETIABUDI,Salesman,TUNAI
JUPITER Z1CWFIN,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125 S,YMS SETIABUDI,Counter Sales,TUNAI
GEAR 125,YMS SETIABUDI,Salesman,TUNAI
AEROX C CYBERCT,YMS SETIABUDI,Salesman,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
NEW FINO PR 125,YMS SETIABUDI,Counter Sales,TUNAI
FILANO LUX,YMS SETIABUDI,Counter Sales,TUNAI
AEROX 155 C,YMS SETIABUDI,Salesman,TUNAI
YZ250FX,YMS SETIABUDI,Salesman,TUNAI
NMAX 155,YMS SETIABUDI,Counter Sales,TUNAI
YZ125X,YMS SETIABUDI,Salesman,TUNAI
NMAX 155 C,YMS SETIABUDI,Counter Sales,TUNAI
FAZZIO NEO,YMS SETIABUDI,Counter Sales,TUNAI
AEROX 155 C,YMS SETIABUDI,Salesman,TUNAI
FILANO LUX,YMS MRANGGEN 3S,Salesman,TUNAI
AEROX 155 C,YMS DEMAK 2S,Counter Sales,TUNAI
FILANO NEO,YMS MRANGGEN 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS DEMAK 2S,Counter Sales,TUNAI
NMAX 155,YMS DEMAK 2S,Counter Sales,TUNAI
NMAX 155,YMS DEMAK 2S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS MRANGGEN 3S,Counter Sales,TUNAI
FILANO NEO,YMS DEMAK 2S,Counter Sales,TUNAI
NMAX 155 C,YMS DEMAK 2S,Counter Sales,TUNAI
FAZZIO LUX,YMS DEMAK 2S,Counter Sales,TUNAI
FILANO NEO,YMS DEMAK 2S,Counter Sales,TUNAI
NMAX 155 C,YMS DEMAK 2S,Counter Sales,TUNAI
FAZZIO NEO,YMS PEDURUNGAN 3S,Salesman,TUNAI
MX KING 150 NEW,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
ALL NEW XSR 155,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FILANO NEO,YMS PEDURUNGAN 3S,Salesman,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Salesman,TUNAI
NMAX 155 C,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
LEXI,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
GEAR 125,PLJ SAMBIROTO,Salesman,TUNAI
FILANO LUX,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
XMAX C,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
ALL NEW XSR 155,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FILANO NEO,PLJ SAMBIROTO,Salesman,TUNAI
FILANO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FILANO LUX,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FREEGO 125,YMS PEDURUNGAN 3S,Salesman,TUNAI
FAZZIO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Salesman,TUNAI
NMAX 155 C,YMS PEDURUNGAN 3S,Salesman,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
ALL NEW VIXION,YMS PEDURUNGAN 3S,Salesman,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FILANO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Salesman,TUNAI
GEAR 125,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS PEDURUNGAN 3S,Salesman,TUNAI
FILANO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
GEAR 125,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
GEAR 125,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
GEAR 125,YMS PEDURUNGAN 3S,Salesman,TUNAI
AEROX 155 C,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Salesman,TUNAI
FILANO NEO,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
NMAX 155,YMS PEDURUNGAN 3S,Counter Sales,TUNAI
AEROX 155 C,PLJ SAMBIROTO,Salesman,TUNAI
FAZZIO LUX,YMS BULU 3S,Counter Sales,TUNAI
R15 CONNECTED,YMS BULU 3S,Counter Sales,TUNAI
FREEGO 125,YMS BULU 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS BULU 3S,Salesman,TUNAI
AEROX C CYBERCT,YMS MIJEN 2S,Counter Sales,TUNAI
AEROX-C ABS,YMS BULU 3S,Counter Sales,TUNAI
FILANO LUX,YMS BULU 3S,Counter Sales,TUNAI
FREEGO 125,YMS BULU 3S,Counter Sales,TUNAI
GEAR 125 S,YMS BULU 3S,Counter Sales,TUNAI
FILANO LUX,YMS MIJEN 2S,Salesman,TUNAI
JUPITER Z1CWFIN,YMS BULU 3S,Salesman,TUNAI
FAZZIO NEO,YMS MIJEN 2S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS BULU 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS BULU 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS BULU 3S,Counter Sales,TUNAI
LEXI,YMS BULU 3S,Counter Sales,TUNAI
JUPITER Z1CWFIN,YMS BULU 3S,Counter Sales,TUNAI
GEAR 125,YMS BULU 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BULU 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS BULU 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS MIJEN 2S,Counter Sales,TUNAI
XMAX C,YMS BULU 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS BULU 3S,Salesman,TUNAI
AEROX C CYBERCT,YMS BULU 3S,Counter Sales,TUNAI
LEXI,YMS BULU 3S,Counter Sales,TUNAI
ALL NEW XSR 155,YMS MIJEN 2S,Counter Sales,TUNAI
NMAX 155,YMS BULU 3S,Counter Sales,TUNAI
AEROX 155 C,YMS BULU 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS BULU 3S,Counter Sales,TUNAI
LEXI,YMS BULU 3S,Counter Sales,TUNAI
NMAX 155,YMS BULU 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BULU 3S,Counter Sales,TUNAI
FILANO LUX,YMS BULU 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS MIJEN 2S,Counter Sales,TUNAI
NMAX 155 C,YMS MIJEN 2S,Counter Sales,TUNAI
NMAX 155,YMS BULU 3S,Counter Sales,TUNAI
MIO 125 CW,YMS BULU 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BULU 3S,Counter Sales,TUNAI
FILANO NEO,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
FILANO LUX,MATARAM SAKTI BAWEN,Salesman,TUNAI
NMAX 155 C,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
FILANO NEO,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
AEROX C CYBERCT,MATARAM SAKTI BAWEN,Salesman,TUNAI
JUPITER Z1CWFIN,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
FAZZIO NEO,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
FILANO LUX,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
NMAX 155 ABS,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
LEXI,MATARAM SAKTI BAWEN,Salesman,TUNAI
FAZZIO NEO,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
NMAX 155 C,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
FILANO NEO,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
AEROX 155 C,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
NMAX 155 C,MATARAM SAKTI BAWEN,Counter Sales,TUNAI
NMAX 155 C,YMS BOJA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BOJA 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS BOJA 3S,Counter Sales,TUNAI
WR 155 R,YMS BOJA 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS BOJA 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS BOJA 3S,Counter Sales,TUNAI
FILANO NEO,YMS SUKOREJO 2S,Counter Sales,TUNAI
NMAX 155 C,YMS BOJA 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS BOJA 3S,Counter Sales,TUNAI
R15M C-ABS WGP,YMS BOJA 3S,Counter Sales,TUNAI
NMAX 155,YMS BOJA 3S,Counter Sales,TUNAI
FILANO NEO,YMS BOJA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS SUKOREJO 2S,Counter Sales,TUNAI
R15 CONNECTED,YMS BOJA 3S,Counter Sales,TUNAI
NMAX 155,YMS MAYONG 3S,Counter Sales,TUNAI
FILANO NEO,YMS MAYONG 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS MAYONG 3S,Counter Sales,TUNAI
MIO 125,YMS MAYONG 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS MAYONG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS TAYU 2S,Salesman,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
FILANO NEO,YMS TAYU 2S,Salesman,TUNAI
AEROX-C ABS,YMS PATI 3S,Counter Sales,TUNAI
FILANO NEO,YMS PATI 3S,Counter Sales,TUNAI
FILANO NEO,YMS TAYU 2S,Counter Sales,TUNAI
NMAX 155 C,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS PATI 3S,Salesman,TUNAI
NMAX 155 C,YMS PATI 3S,Salesman,TUNAI
MX KING 150 NEW,YMS TAYU 2S,Salesman,TUNAI
NMAX 155 C,YMS PATI 3S,Salesman,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
FILANO NEO,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
FILANO NEO,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PATI 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS PATI 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PATI 3S,Salesman,TUNAI
NMAX 155 C,YMS PATI 3S,Counter Sales,TUNAI
NEW FINO SP 125,YMS PATI 3S,Counter Sales,TUNAI
FILANO NEO,YMS TAYU 2S,Counter Sales,TUNAI
FILANO NEO,YMS TAYU 2S,Counter Sales,TUNAI
FILANO NEO,YMS TAYU 2S,Salesman,TUNAI
FILANO NEO,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
FILANO LUX,YMS PATI 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
NMAX 155,YMS PATI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS TAYU 2S,Counter Sales,TUNAI
FAZZIO LUX,YMS PATI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS TAYU 2S,Salesman,TUNAI
FREEGO 125,YMS PATI 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS JEPARA 3S,Counter Sales,TUNAI
FILANO NEO,YMS JEPARA 3S,Counter Sales,TUNAI
NMAX 155,YMS JEPARA 3S,Counter Sales,TUNAI
NMAX 155,YMS JEPARA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS JEPARA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS JEPARA 3S,Counter Sales,TUNAI
NMAX 155,YMS PURWODADI 3S,Salesman,TUNAI
NMAX 155,YMS KUWU 2S,Counter Sales,TUNAI
NMAX 155 C,PLJ WIROSARI,Salesman,TUNAI
NMAX 155 C,YMS PURWODADI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PURWODADI 3S,Salesman,TUNAI
MX KING 150 NEW,YMS PURWODADI 3S,Counter Sales,TUNAI
NMAX 155,YMS KUWU 2S,Counter Sales,TUNAI
AEROX-C ABS,YMS PURWODADI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURWODADI 3S,Salesman,TUNAI
NMAX 155,YMS PURWODADI 3S,Salesman,TUNAI
WR 155 R,YMS PURWODADI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURWODADI 3S,Salesman,TUNAI
XMAX C,PLJ WIROSARI,Salesman,TUNAI
NMAX 155,YMS KUWU 2S,Counter Sales,TUNAI
NMAX 155,YMS PURWODADI 3S,Salesman,TUNAI
FAZZIO LUX,PLJ WIROSARI,Counter Sales,TUNAI
FAZZIO LUX,YMS PURWODADI 3S,Salesman,TUNAI
NMAX 155,PLJ WIROSARI,Counter Sales,TUNAI
FAZZIO NEO,YMS DANYANG 2S,Counter Sales,TUNAI
NMAX 155 C,YMS DANYANG 2S,Counter Sales,TUNAI
MX KING 150 NEW,YMS KUWU 2S,Salesman,TUNAI
NMAX 155 C,YMS KUWU 2S,Counter Sales,TUNAI
NMAX 155,YMS PURWODADI 3S,Salesman,TUNAI
AEROX 155 C,YMS PURWODADI 3S,Salesman,TUNAI
AEROX C CYBERCT,YMS KUWU 2S,Counter Sales,TUNAI
NMAX 155,YMS KUWU 2S,Salesman,TUNAI
NMAX 155,YMS KUWU 2S,Counter Sales,TUNAI
MIO 125 CW,YMS PURWODADI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PURWODADI 3S,Salesman,TUNAI
AEROX 155 C,PLJ WIROSARI,Counter Sales,TUNAI
NMAX 155,YMS PURWODADI 3S,Salesman,TUNAI
NMAX 155 C,YMS KUWU 2S,Counter Sales,TUNAI
NMAX 155 C,YMS PURWODADI 3S,Salesman,TUNAI
NMAX 155 C,YMS PURWODADI 3S,Salesman,TUNAI
FILANO NEO,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155,YMS BLORA 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS BLORA 3S,Counter Sales,TUNAI
WR 155 R,YMS BLORA 3S,Counter Sales,TUNAI
FILANO NEO,YMS BLORA 3S,Salesman,TUNAI
ALL NEW VIXION,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS SESO 2S,Salesman,TUNAI
MX KING 150 NEW,YMS BLORA 3S,Counter Sales,TUNAI
JUPITER Z1CWFIN,YMS BLORA 3S,Counter Sales,TUNAI
XMAX C,YMS BLORA 3S,Counter Sales,TUNAI
FILANO LUX,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155,YMS BLORA 3S,Counter Sales,TUNAI
FILANO NEO,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BLORA 3S,Sales Channel,TUNAI
NMAX 155 C,YMS BLORA 3S,Counter Sales,TUNAI
NMAX 155,YMS BLORA 3S,Counter Sales,TUNAI
FILANO NEO,YMS BLORA 3S,Counter Sales,TUNAI
GEAR 125 S,YMS SESO 2S,Salesman,TUNAI
NMAX 155 C,YMS CEPU 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS CEPU 3S,Counter Sales,TUNAI
AEROX 155 C,YMS CEPU 3S,Salesman,TUNAI
NMAX 155 C,YMS CEPU 3S,Counter Sales,TUNAI
NMAX 155 C,YMS CEPU 3S,Counter Sales,TUNAI
NMAX 155 C,YMS CEPU 3S,Counter Sales,TUNAI
NMAX 155,YMS CEPU 3S,Counter Sales,TUNAI
FREEGO 125,YMS CEPU 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS CEPU 3S,Counter Sales,TUNAI
FILANO NEO,YMS CEPU 3S,Counter Sales,TUNAI
NMAX 155,YMS CEPU 3S,Counter Sales,TUNAI
FREEGO 125,YMS CEPU 3S,Counter Sales,TUNAI
FREEGO 125,YMS CEPU 3S,Salesman,TUNAI
ALL NEW XSR 155,YMS CEPU 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS CEPU 3S,Counter Sales,TUNAI
NMAX 155,YMS CEPU 3S,Salesman,TUNAI
FILANO NEO,PLJ PANDANGAN,Salesman,TUNAI
NMAX 155 C,YMS REMBANG 3S,Counter Sales,TUNAI
NMAX 155 C,PLJ PANDANGAN,Salesman,TUNAI
NMAX 155,YMS REMBANG 3S,Counter Sales,TUNAI
NMAX 155,YMS REMBANG 3S,Counter Sales,TUNAI
FILANO NEO,PLJ PANDANGAN,Salesman,TUNAI
NMAX 155 C,PLJ PANDANGAN,Salesman,TUNAI
AEROX C CYBERCT,YMS REMBANG 3S,Counter Sales,TUNAI
NMAX 155,PLJ PAMOTAN,Counter Sales,TUNAI
NMAX 155,PLJ PAMOTAN,Salesman,TUNAI
NMAX 155,PLJ PANDANGAN,Salesman,TUNAI
AEROX 155 C,YMS REMBANG 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS REMBANG 3S,Counter Sales,TUNAI
FILANO NEO,YMS REMBANG 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS REMBANG 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS REMBANG 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS BUGEL 3S,Counter Sales,TUNAI
NMAX 155 C,YMS BUGEL 3S,Counter Sales,TUNAI
FILANO NEO,YMS BUGEL 3S,Salesman,TUNAI
NMAX 155,YMS BUGEL 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS BUGEL 3S,Salesman,TUNAI
AEROX C CYBERCT,YMS BUGEL 3S,Salesman,TUNAI
NMAX 155,YMS BUGEL 3S,Salesman,TUNAI
FILANO NEO,YMS 3S A YANI KUDUS,Salesman,TUNAI
NMAX 155,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FILANO LUX,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
NMAX 155 C,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FILANO NEO,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FAZZIO NEO,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
LEXI,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
AEROX 155 C,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FILANO NEO,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
AEROX-C ABS,YMS 3S A YANI KUDUS,Salesman,TUNAI
FILANO LUX,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FILANO LUX,YMS 3S A YANI KUDUS,Salesman,TUNAI
MX KING 150 NEW,2S NGEMBALREJO,Salesman,TUNAI
GEAR 125,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FAZZIO NEO,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
NMAX 155,YMS 3S A YANI KUDUS,Salesman,TUNAI
FILANO NEO,YMS 3S A YANI KUDUS,Salesman,TUNAI
FAZZIO NEO,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FAZZIO NEO,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FAZZIO NEO,YMS 3S A YANI KUDUS,Counter Sales,TUNAI
FAZZIO NEO,YMS 3S A YANI KUDUS,Salesman,TUNAI
FILANO NEO,YMS 3S PRAMBATAN,Counter Sales,TUNAI
FILANO LUX,YMS 3S PRAMBATAN,Counter Sales,TUNAI
ALL NEW XSR 155,YMS 3S PRAMBATAN,Salesman,TUNAI
NMAX 155 C,YMS 3S PRAMBATAN,Counter Sales,TUNAI
NMAX 155 C,YMS 3S PRAMBATAN,Counter Sales,TUNAI
NMAX 155,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS CILACAP 3S,Counter Sales,TUNAI
FILANO NEO,YMS CILACAP 3S,Salesman,TUNAI
FILANO LUX,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155,YMS KROYA 2S,Salesman,TUNAI
NMAX 155 C,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS CILACAP 3S,Counter Sales,TUNAI
FREEGO 125,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155,YMS CILACAP 3S,Counter Sales,TUNAI
XMAX C,YMS CILACAP 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS CILACAP 3S,Counter Sales,TUNAI
