TYPE_K,LOKASI,SALES_TYPE,TUN_LEAS
AEROX C CYBERCT,YMS KROYA 2S,Counter Sales,TUNAI
FILANO NEO,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155,YMS CILACAP 3S,Counter Sales,TUNAI
GEAR 125,YMS CILACAP 3S,Counter Sales,TUNAI
FILANO NEO,YMS CILACAP 3S,Counter Sales,TUNAI
FILANO NEO,YMS CILACAP 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS CILACAP 3S,Counter Sales,TUNAI
FILANO NEO,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155,YMS KROYA 2S,Counter Sales,TUNAI
FILANO NEO,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155 C,YMS CILACAP 3S,Salesman,TUNAI
NMAX 155,YMS CILACAP 3S,Salesman,TUNAI
NMAX 155,YMS KROYA 2S,Counter Sales,TUNAI
NMAX 155 C,YMS KROYA 2S,Counter Sales,TUNAI
NMAX 155 C,YMS CILACAP 3S,Counter Sales,TUNAI
NMAX 155,YMS CILACAP 3S,Counter Sales,TUNAI
GEAR 125,YMS AJIBARANG 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS AJIBARANG 3S,Salesman,TUNAI
FILANO NEO,YMS AJIBARANG 3S,Counter Sales,TUNAI
FREEGO 125,YMS AJIBARANG 3S,Counter Sales,TUNAI
JUPITER Z1CWFIN,YMS AJIBARANG 3S,Salesman,TUNAI
NMAX 155,YMS AJIBARANG 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS AJIBARANG 3S,Counter Sales,TUNAI
NMAX 155,YMS AJIBARANG 3S,Salesman,TUNAI
AEROX 155 C,YMS AJIBARANG 3S,Counter Sales,TUNAI
GEAR 125 S,YMS AJIBARANG 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS PURBALINGGA 3S,Salesman,TUNAI
NMAX 155,YMS PURBALINGGA 3S,Counter Sales,TUNAI
MIO 125,YMS PURBALINGGA 3S,Counter Sales,TUNAI
FILANO NEO,YMS BOBOTSARI 2S,Counter Sales,TUNAI
R15M C-ABS,YMS BOBOTSARI 2S,Counter Sales,TUNAI
GEAR 125 S,YMS PURBALINGGA 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS PURBALINGGA 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PURBALINGGA 3S,Salesman,TUNAI
FAZZIO NEO,YMS PURBALINGGA 3S,Salesman,TUNAI
AEROX 155 C,YMS PURBALINGGA 3S,Salesman,TUNAI
NMAX 155,YMS PURBALINGGA 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURBALINGGA 3S,Counter Sales,TUNAI
FILANO LUX,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS PURWOKERTO 3S,Counter Sales,TUNAI
GEAR 125,YMS PURWOKERTO 3S,Counter Sales,TUNAI
NMAX 155,YMS PURWOKERTO 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FILANO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FREEGO 125,YMS PURWOKERTO 3S,Counter Sales,TUNAI
LEXI,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS PURWOKERTO 3S,Counter Sales,TUNAI
NMAX 155,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX-C ABS,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FILANO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
JUPITER Z1CWFIN,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
NMAX 155,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FILANO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FILANO NEO,YMS PURWOKERTO 3S,Counter Sales,TUNAI
FILANO LUX,YMS PURWOKERTO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS PURWOKERTO 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS MAJENANG 3S,Salesman,TUNAI
NMAX 155,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAJENANG 3S,Counter Sales,TUNAI
AEROX 155 C,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155,YMS SIDAREJA 2S,Counter Sales,TUNAI
NMAX 155,YMS MAJENANG 3S,Counter Sales,TUNAI
WR 155 R,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS SIDAREJA 2S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS SIDAREJA 2S,Salesman,TUNAI
AEROX C CYBERCT,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155,YMS SIDAREJA 2S,Salesman,TUNAI
AEROX 155 C,YMS MAJENANG 3S,Counter Sales,TUNAI
AEROX-C ABS,YMS SIDAREJA 2S,Counter Sales,TUNAI
FAZZIO LUX,YMS SIDAREJA 2S,Counter Sales,TUNAI
NMAX 155 C,YMS SIDAREJA 2S,Counter Sales,TUNAI
NMAX 155,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAJENANG 3S,Salesman,TUNAI
AEROX 155 C,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAJENANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAJENANG 3S,Salesman,TUNAI
AEROX 155 C,YMS MAJENANG 3S,Counter Sales,TUNAI
FILANO NEO,YMS MAJENANG 3S,Counter Sales,TUNAI
GEAR 125 S,YMS KALANGAN 2S,Salesman,LEASING
GEAR 125,YMS MAGELANG 3S,Salesman,LEASING
AEROX 155 C,YMS MAGELANG 3S,Salesman,LEASING
AEROX 155 C,YMS GRABAG 2S,Salesman,LEASING
LEXI,YMS MAGELANG 3S,Salesman,LEASING
AEROX 155 C,YMS MAGELANG 3S,Salesman,LEASING
NMAX 155,YMS MAGELANG 3S,Salesman,LEASING
AEROX 155 C,YMS GRABAG 2S,Salesman,LEASING
NMAX 155 C,YMS MAGELANG 3S,Salesman,LEASING
AEROX 155 C,YMS MAGELANG 3S,Salesman,LEASING
NMAX 155,YMS PURWOREJO 3S,Counter Sales,LEASING
GEAR 125,PLJ KALIBOTO,Salesman,LEASING
MX KING 150 NEW,YMS PURWOREJO 3S,Salesman,LEASING
AEROX 155 C,YMS PURWOREJO 3S,Salesman,LEASING
NMAX 155,PLJ KALIBOTO,Salesman,LEASING
AEROX 155 C,YMS PURWOREJO 3S,Salesman,LEASING
GEAR 125,PLJ KALIBOTO,Salesman,LEASING
GEAR 125,YMS KEBUMEN 3S,Counter Sales,LEASING
JUPITER Z1CWFIN,YMS PREMBUN 2S,Salesman,LEASING
NMAX 155,YMS PREMBUN 2S,Salesman,LEASING
NMAX 155,YMS KEBUMEN 3S,Counter Sales,LEASING
NMAX 155,YMS KEBUMEN 3S,Counter Sales,LEASING
FILANO NEO,YMS KEBUMEN 3S,Counter Sales,LEASING
NMAX 155,YMS KEBUMEN 3S,Salesman,LEASING
AEROX-C ABS,YMS KEBUMEN 3S,Salesman,LEASING
NMAX 155,YMS KEBUMEN 3S,Salesman,LEASING
NMAX 155 C,YMS KEBUMEN 3S,Counter Sales,LEASING
NMAX 155,YMS KEBUMEN 3S,Counter Sales,LEASING
MIO 125 CW,YMS KEBUMEN 3S,Counter Sales,LEASING
AEROX 155 C,YMS KEBUMEN 3S,Counter Sales,LEASING
MT 15,YMS KEBUMEN 3S,Counter Sales,LEASING
AEROX 155 C,YMS PREMBUN 2S,Salesman,LEASING
NMAX 155 C,YMS KEBUMEN 3S,Counter Sales,LEASING
NMAX 155,YMS KEBUMEN 3S,Counter Sales,LEASING
FILANO LUX,YMS KEBUMEN 3S,Counter Sales,LEASING
AEROX 155 C,YMS KEBUMEN 3S,Counter Sales,LEASING
FREEGO 125,YMS KEBUMEN 3S,Counter Sales,LEASING
NMAX 155,YMS WONOSOBO 3S,Salesman,LEASING
NMAX 155,YMS WONOSOBO 3S,Salesman,LEASING
NMAX 155 C,YMS WONOSOBO 3S,Counter Sales,LEASING
NMAX 155,YMS WONOSOBO 3S,Salesman,LEASING
AEROX C CYBERCT,YMS WONOSOBO 3S,Salesman,LEASING
NMAX 155,YMS WONOSOBO 3S,Salesman,LEASING
NMAX 155,YMS WONOSOBO 3S,Salesman,LEASING
NMAX 155,YMS WONOSOBO 3S,Salesman,LEASING
NMAX 155,YMS WONOSOBO 3S,Sales Channel,LEASING
NMAX 155,YMS WONOSOBO 3S,Salesman,LEASING
AEROX 155 C,YMS WONOSOBO 3S,Salesman,LEASING
AEROX C CYBERCT,YMS WONOSOBO 3S,Salesman,LEASING
AEROX C CYBERCT,YMS WONOSOBO 3S,Salesman,LEASING
NMAX 155 C,YMS WONOSOBO 3S,Counter Sales,LEASING
NMAX 155 C,YMS WONOSOBO 3S,Counter Sales,LEASING
ALL NEW XSR 155,YMS WONOSOBO 3S,Sales Channel,LEASING
NMAX 155,YMS WONOSOBO 3S,Counter Sales,LEASING
JUPITER Z1CWFIN,YMS TEMANGGUNG 3S,Salesman,LEASING
NMAX 155 C,PLJ PARAKAN,Salesman,LEASING
AEROX 155 C,PLJ PARAKAN,Salesman,LEASING
FILANO NEO,PLJ PARAKAN,Salesman,LEASING
AEROX C CYBERCT,YMS TEMANGGUNG 3S,Salesman,LEASING
NMAX 155,YMS TEMANGGUNG 3S,Counter Sales,LEASING
NMAX 155,YMS TEMANGGUNG 3S,Counter Sales,LEASING
FAZZIO NEO,PLJ PARAKAN,Salesman,LEASING
AEROX 155 C,YMS TEMANGGUNG 3S,Counter Sales,LEASING
NMAX 155,PLJ PARAKAN,Salesman,LEASING
FAZZIO NEO,PLJ PARAKAN,Salesman,LEASING
NMAX 155,PLJ PARAKAN,Salesman,LEASING
R15 CONNECTED,PLJ PARAKAN,Salesman,LEASING
GEAR 125,PLJ PARANGTRITIS,Salesman,LEASING
GEAR 125,PLJ PARANGTRITIS,Salesman,LEASING
FAZZIO NEO,YMS WATES 3S,Counter Sales,LEASING
NMAX 155,PLJ PARANGTRITIS,Salesman,LEASING
JUPITER Z1CWFIN,PLJ PARANGTRITIS,Salesman,TUNAI
NMAX 155 C,PLJ PARANGTRITIS,Salesman,LEASING
GEAR 125,PLJ PARANGTRITIS,Salesman,LEASING
AEROX 155 C,PLJ PARANGTRITIS,Salesman,LEASING
AEROX 155 C,PLJ PARANGTRITIS,Salesman,LEASING
GEAR 125,PLJ PARANGTRITIS,Salesman,LEASING
NMAX 155,YMS SANG AJI 3S,Salesman,LEASING
FILANO LUX,YMS SANG AJI 3S,Counter Sales,LEASING
FILANO NEO,YMS SANG AJI 3S,Counter Sales,LEASING
FAZZIO NEO,YMS SANG AJI 3S,Counter Sales,LEASING
FAZZIO NEO,YMS SANG AJI 3S,Counter Sales,LEASING
NMAX 155,YMS SANG AJI 3S,Counter Sales,LEASING
GEAR 125,YMS SANG AJI 3S,Salesman,LEASING
FREEGO 125,YMS SANG AJI 3S,Counter Sales,LEASING
AEROX-C ABS,YMS SANG AJI 3S,Counter Sales,LEASING
FREEGO 125,YMS SANG AJI 3S,Counter Sales,LEASING
FAZZIO LUX,YMS SANG AJI 3S,Counter Sales,LEASING
AEROX C CYBERCT,YMS SANG AJI 3S,Counter Sales,LEASING
NMAX 155,YMS SANG AJI 3S,Counter Sales,LEASING
NMAX 155,YMS SANG AJI 3S,Salesman,TUNAI
AEROX 155 C,YMS SANG AJI 3S,Salesman,TUNAI
FILANO LUX,YMS SANG AJI 3S,Counter Sales,LEASING
AEROX 155 C,YMS SANG AJI 3S,Counter Sales,LEASING
MIO 125 CW,YMS SANG AJI 3S,Salesman,TUNAI
FILANO NEO,YMS SANG AJI 3S,Counter Sales,LEASING
XMAX C,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS SANG AJI 3S,Counter Sales,LEASING
XMAX C,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155,YMS WONOSARI 3S,Salesman,LEASING
MX KING 150 NEW,YMS WONOSARI 3S,Salesman,LEASING
FILANO NEO,YMS WONOSARI 3S,Counter Sales,LEASING
AEROX C CYBERCT,YMS WONOSARI 3S,Salesman,LEASING
MX KING 150 NEW,YMS WONOSARI 3S,Salesman,LEASING
NMAX 155,YMS WONOSARI 3S,Salesman,LEASING
AEROX 155 C,YMS WONOSARI 3S,Salesman,LEASING
JUPITER Z1CWFIN,YMS WONOSARI 3S,Salesman,LEASING
AEROX C CYBERCT,YMS KULON PROGO,Salesman,LEASING
GEAR 125,YMS KULON PROGO,Salesman,LEASING
AEROX 155 C,YMS KULON PROGO,Salesman,LEASING
FILANO NEO,YMS KULON PROGO,Salesman,LEASING
NMAX 155,YMS 3S KLATEN,Salesman,LEASING
GEAR 125,YMS 3S KLATEN,Salesman,LEASING
AEROX 155 C,YMS 3S KLATEN,Salesman,LEASING
AEROX 155 C,YMS 3S KLATEN,Salesman,LEASING
GEAR 125,PLJ JATINOM,Salesman,LEASING
AEROX 155 C,YMS 3S KLATEN,Salesman,LEASING
NMAX 155,YMS 3S KLATEN,Salesman,LEASING
NMAX 155,YMS 3S KLATEN,Salesman,LEASING
NMAX 155,3S MADIUN,Sales Channel,LEASING
NMAX 155 C,3S MADIUN,Sales Channel,LEASING
GEAR 125,3S MADIUN,Counter Sales,LEASING
GEAR 125,3S MADIUN,Sales Channel,LEASING
NMAX 155,3S MADIUN,Counter Sales,LEASING
AEROX C CYBERCT,3S MADIUN,Counter Sales,LEASING
NMAX 155,3S MADIUN,Counter Sales,LEASING
AEROX 155 C,3S MADIUN,Counter Sales,LEASING
GEAR 125,3S MAGETAN,Sales Channel,LEASING
NMAX 155,3S MAGETAN,Sales Channel,LEASING
AEROX C CYBERCT,3S MAGETAN,Salesman,LEASING
NMAX 155,3S MAGETAN,Sales Channel,LEASING
NMAX 155,3S MAGETAN,Sales Channel,LEASING
WR 155 R,3S MAGETAN,Sales Channel,LEASING
NMAX 155,3S MAGETAN,Sales Channel,LEASING
NMAX 155,3S MAGETAN,Sales Channel,LEASING
NMAX 155,3S MAGETAN,Sales Channel,LEASING
NMAX 155,3S MAGETAN,Sales Channel,LEASING
GEAR 125 S,3S MAGETAN,Sales Channel,LEASING
FILANO LUX,3S PONOROGO,Sales Channel,LEASING
MX KING 150 NEW,3S PONOROGO,Sales Channel,LEASING
NMAX 155 ABS,3S PONOROGO,Sales Channel,LEASING
AEROX 155 C,3S PONOROGO,Sales Channel,LEASING
NMAX 155 ABS,3S PONOROGO,Sales Channel,LEASING
NMAX 155,3S PONOROGO,Sales Channel,LEASING
VEGA FORCE DBCW,3S PONOROGO,Sales Channel,LEASING
NMAX 155,3S PONOROGO,Salesman,LEASING
FAZZIO NEO,3S PONOROGO,Sales Channel,LEASING
NMAX 155 C,3S PONOROGO,Sales Channel,LEASING
NMAX 155 C,3S PONOROGO,Sales Channel,LEASING
NMAX 155,3S PONOROGO,Sales Channel,LEASING
NMAX 155 C,3S PONOROGO,Sales Channel,LEASING
ALL NEW XSR 155,3S PONOROGO,Sales Channel,LEASING
NMAX 155,3S KEDIRI,Sales Channel,LEASING
NMAX 155 ABS,3S KEDIRI,Sales Channel,LEASING
GEAR 125,3S KEDIRI,Sales Channel,LEASING
FREEGO 125,3S KEDIRI,Sales Channel,LEASING
MIO 125 CW,3S NGADILUWIH,Sales Channel,LEASING
AEROX C CYBERCT,3S NGADILUWIH,Sales Channel,LEASING
GEAR 125,3S NGADILUWIH,Sales Channel,LEASING
X RIDE 125 NEW,3S BLITAR,Sales Channel,LEASING
AEROX C CYBERCT,3S BLITAR,Salesman,LEASING
NMAX 155 C,3S BLITAR,Salesman,LEASING
NMAX 155 C,3S BLITAR,Salesman,LEASING
FILANO NEO,3S TULUNGAGUNG,Sales Channel,LEASING
FILANO NEO,3S TULUNGAGUNG,Sales Channel,LEASING
ALL NEW VIXION,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
ALL NEW XSR 155,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
AEROX 155 C,3S TULUNGAGUNG,Sales Channel,LEASING
FILANO NEO,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
FILANO NEO,3S TULUNGAGUNG,Salesman,LEASING
FAZZIO NEO,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155 ABS,3S TULUNGAGUNG,Sales Channel,LEASING
NMAX 155,3S TULUNGAGUNG,Sales Channel,LEASING
AEROX 155 C,3S NGANJUK,Sales Channel,LEASING
GEAR 125 S,3S NGANJUK,Sales Channel,LEASING
MX KING 150 NEW,3S NGANJUK,Sales Channel,LEASING
NMAX 155 C,3S NGANJUK,Sales Channel,LEASING
NMAX 155,3S NGANJUK,Sales Channel,LEASING
NMAX 155 C,3S NGANJUK,Sales Channel,LEASING
NMAX 155,3S NGANJUK,Sales Channel,LEASING
NMAX 155,3S NGANJUK,Sales Channel,LEASING
NMAX 155,3S NGANJUK,Sales Channel,TUNAI
NMAX 155 C,3S NGANJUK,Sales Channel,LEASING
FREEGO 125,YMS 1S MT HARYONO,Counter Sales,LEASING
GEAR 125,YMS 1S MT HARYONO,Salesman,LEASING
NMAX 155,YMS 1S MT HARYONO,Sales Channel,LEASING
MX KING 150 NEW,YMS 1S MT HARYONO,Sales Channel,LEASING
NMAX 155 C,YMS 1S MT HARYONO,Counter Sales,TUNAI
JUPITER Z1CWFIN,YMS WAHIDIN 2S,Counter Sales,LEASING
FILANO NEO,YMS 1S MT HARYONO,Salesman,LEASING
ALL NEW VIXION,YMS 1S MT HARYONO,Counter Sales,LEASING
AEROX 155 C,YMS 1S MT HARYONO,Counter Sales,LEASING
AEROX 155 C,YMS 1S MT HARYONO,Counter Sales,LEASING
FILANO NEO,YMS 1S MT HARYONO,Counter Sales,LEASING
NMAX 155,YMS WAHIDIN 2S,Salesman,LEASING
GEAR 125 S,YMS 1S MT HARYONO,Counter Sales,LEASING
FILANO LUX,YMS 1S MT HARYONO,Counter Sales,LEASING
GEAR 125,YMS 1S MT HARYONO,Counter Sales,LEASING
GEAR 125 S,YMS 1S MT HARYONO,Counter Sales,LEASING
GEAR 125,YMS 1S MT HARYONO,Counter Sales,LEASING
NMAX 155,YMS WAHIDIN 2S,Salesman,LEASING
NMAX 155,YMS WAHIDIN 2S,Counter Sales,LEASING
FILANO LUX,YMS WAHIDIN 2S,Salesman,LEASING
FAZZIO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
GEAR 125,YMS 1S MT HARYONO,Salesman,LEASING
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155 C,YMS 1S MT HARYONO,Counter Sales,LEASING
FILANO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
GEAR 125,YMS WAHIDIN 2S,Salesman,LEASING
GEAR 125,YMS 1S MT HARYONO,Salesman,LEASING
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
FILANO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
GEAR 125,YMS 1S MT HARYONO,Salesman,LEASING
FILANO NEO,YMS WAHIDIN 2S,Salesman,LEASING
AEROX C CYBERCT,YMS WAHIDIN 2S,Salesman,LEASING
AEROX C CYBERCT,YMS 1S MT HARYONO,Counter Sales,LEASING
MIO 125 CW,YMS 1S MT HARYONO,Sales Channel,LEASING
NMAX 155,YMS 1S MT HARYONO,Counter Sales,LEASING
FAZZIO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
AEROX 155 C,YMS 1S MT HARYONO,Counter Sales,LEASING
NMAX 155,YMS WAHIDIN 2S,Salesman,LEASING
FAZZIO LUX,YMS WAHIDIN 2S,Salesman,LEASING
GEAR 125,YMS WAHIDIN 2S,Salesman,LEASING
MX KING 150 NEW,YMS 1S MT HARYONO,Salesman,LEASING
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
FREEGO 125,YMS WAHIDIN 2S,Salesman,LEASING
NMAX 155,YMS WAHIDIN 2S,Salesman,TUNAI
NMAX 155,YMS WAHIDIN 2S,Salesman,LEASING
NMAX 155,YMS WAHIDIN 2S,Salesman,LEASING
NMAX 155,YMS WAHIDIN 2S,Salesman,LEASING
FREEGO 125 C,YMS WAHIDIN 2S,Salesman,LEASING
GEAR 125 S,YMS 1S MT HARYONO,Counter Sales,LEASING
AEROX 155 C,YMS 1S MT HARYONO,Counter Sales,LEASING
NMAX 155,YMS 1S MT HARYONO,Sales Channel,LEASING
NMAX 155 ABS,YMS 1S MT HARYONO,Sales Channel,LEASING
MX KING 150 NEW,YMS 1S MT HARYONO,Sales Channel,LEASING
NMAX 155 C,YMS 1S MT HARYONO,Salesman,LEASING
GEAR 125,YMS 1S MT HARYONO,Sales Channel,LEASING
FILANO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
FILANO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
AEROX 155 C,YMS WAHIDIN 2S,Salesman,LEASING
AEROX 155 C,YMS 1S MT HARYONO,Sales Channel,LEASING
NMAX 155,YMS KALIWUNGU 3S,Counter Sales,TUNAI
NMAX 155,YMS CEPIRING 2S,Salesman,LEASING
NMAX 155,YMS CEPIRING 2S,Salesman,LEASING
FILANO NEO,YMS CEPIRING 2S,Salesman,LEASING
FILANO NEO,YMS CEPIRING 2S,Salesman,LEASING
NMAX 155,YMS CEPIRING 2S,Salesman,LEASING
